,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,hour,year,month,day,weekday,week_num,temp_f,d_low,d_high,d_avg,w_avg,wavg_to_davg_temp_diff
0,1,0,0,1,9.84,14.395,81,0.0,3,13,16,0,2011,1,1,5,52,50.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
1,1,0,0,1,9.02,13.635,80,0.0,8,32,40,1,2011,1,1,5,52,48.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
2,1,0,0,1,9.02,13.635,80,0.0,5,27,32,2,2011,1,1,5,52,48.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
3,1,0,0,1,9.84,14.395,75,0.0,3,10,13,3,2011,1,1,5,52,50.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
4,1,0,0,1,9.84,14.395,75,0.0,0,1,1,4,2011,1,1,5,52,50.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
5,1,0,0,2,9.84,12.88,75,6.0032,0,1,1,5,2011,1,1,5,52,50.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
6,1,0,0,1,9.02,13.635,80,0.0,2,0,2,6,2011,1,1,5,52,48.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
7,1,0,0,1,8.2,12.88,86,0.0,1,2,3,7,2011,1,1,5,52,47.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
8,1,0,0,1,9.84,14.395,75,0.0,1,7,8,8,2011,1,1,5,52,50.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
9,1,0,0,1,13.12,17.425,76,0.0,8,6,14,9,2011,1,1,5,52,56.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
10,1,0,0,1,15.58,19.695,76,16.9979,12,24,36,10,2011,1,1,5,52,60.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
11,1,0,0,1,14.76,16.665,81,19.0012,26,30,56,11,2011,1,1,5,52,59.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
12,1,0,0,1,17.22,21.21,77,19.0012,29,55,84,12,2011,1,1,5,52,63.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
13,1,0,0,2,18.86,22.725,72,19.9995,47,47,94,13,2011,1,1,5,52,66.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
14,1,0,0,2,18.86,22.725,72,19.0012,35,71,106,14,2011,1,1,5,52,66.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
15,1,0,0,2,18.04,21.97,77,19.9995,40,70,110,15,2011,1,1,5,52,64.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
16,1,0,0,2,17.22,21.21,82,19.9995,41,52,93,16,2011,1,1,5,52,63.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
17,1,0,0,2,18.04,21.97,82,19.0012,15,52,67,17,2011,1,1,5,52,64.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
18,1,0,0,3,17.22,21.21,88,16.9979,9,26,35,18,2011,1,1,5,52,63.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
19,1,0,0,3,17.22,21.21,88,16.9979,6,31,37,19,2011,1,1,5,52,63.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
20,1,0,0,2,16.4,20.455,87,16.9979,11,25,36,20,2011,1,1,5,52,62.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
21,1,0,0,2,16.4,20.455,87,12.998,3,31,34,21,2011,1,1,5,52,62.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
22,1,0,0,2,16.4,20.455,94,15.0013,11,17,28,22,2011,1,1,5,52,62.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
23,1,0,0,2,18.86,22.725,88,19.9995,15,24,39,23,2011,1,1,5,52,66.0,66.0,47.0,57.5,52.541666666666664,-4.958333333333336
24,1,0,0,2,18.86,22.725,88,19.9995,4,13,17,0,2011,1,2,6,52,66.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
25,1,0,0,2,18.04,21.97,94,16.9979,1,16,17,1,2011,1,2,6,52,64.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
26,1,0,0,2,17.22,21.21,100,19.0012,1,8,9,2,2011,1,2,6,52,63.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
27,1,0,0,2,18.86,22.725,94,12.998,2,4,6,3,2011,1,2,6,52,66.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
28,1,0,0,2,18.86,22.725,94,12.998,2,1,3,4,2011,1,2,6,52,66.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
29,1,0,0,3,17.22,21.21,77,19.9995,0,2,2,6,2011,1,2,6,52,63.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
30,1,0,0,2,16.4,20.455,76,12.998,0,1,1,7,2011,1,2,6,52,62.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
31,1,0,0,3,16.4,20.455,71,15.0013,0,8,8,8,2011,1,2,6,52,62.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
32,1,0,0,2,15.58,19.695,76,15.0013,1,19,20,9,2011,1,2,6,52,60.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
33,1,0,0,2,14.76,17.425,81,15.0013,7,46,53,10,2011,1,2,6,52,59.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
34,1,0,0,2,14.76,16.665,71,16.9979,16,54,70,11,2011,1,2,6,52,59.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
35,1,0,0,2,14.76,16.665,66,19.9995,20,73,93,12,2011,1,2,6,52,59.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
36,1,0,0,2,14.76,17.425,66,8.9981,11,64,75,13,2011,1,2,6,52,59.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
37,1,0,0,3,14.76,17.425,76,12.998,4,55,59,14,2011,1,2,6,52,59.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
38,1,0,0,3,13.94,16.665,81,11.0014,19,55,74,15,2011,1,2,6,52,57.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
39,1,0,0,3,13.94,16.665,71,11.0014,9,67,76,16,2011,1,2,6,52,57.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
40,1,0,0,1,13.94,16.665,57,12.998,7,58,65,17,2011,1,2,6,52,57.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
41,1,0,0,2,14.76,16.665,46,22.0028,10,43,53,18,2011,1,2,6,52,59.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
42,1,0,0,1,13.12,14.395,42,30.0026,1,29,30,19,2011,1,2,6,52,56.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
43,1,0,0,1,12.3,13.635,39,23.9994,5,17,22,20,2011,1,2,6,52,54.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
44,1,0,0,1,10.66,11.365,44,22.0028,11,20,31,21,2011,1,2,6,52,51.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
45,1,0,0,1,9.84,10.605,44,19.9995,0,9,9,22,2011,1,2,6,52,50.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
46,1,0,0,1,9.02,11.365,47,11.0014,0,8,8,23,2011,1,2,6,52,48.0,66.0,48.0,58.95652173913044,52.541666666666664,-6.414855072463773
47,1,0,1,1,9.02,9.85,44,23.9994,0,5,5,0,2011,1,3,0,1,48.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
48,1,0,1,1,8.2,8.335,44,27.9993,0,2,2,1,2011,1,3,0,1,47.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
49,1,0,1,1,6.56,6.82,47,26.0027,0,1,1,4,2011,1,3,0,1,44.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
50,1,0,1,1,6.56,6.82,47,19.0012,0,3,3,5,2011,1,3,0,1,44.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
51,1,0,1,1,5.74,5.305,50,26.0027,0,30,30,6,2011,1,3,0,1,42.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
52,1,0,1,1,5.74,6.82,50,12.998,1,63,64,7,2011,1,3,0,1,42.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
53,1,0,1,1,5.74,6.06,50,19.0012,1,153,154,8,2011,1,3,0,1,42.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
54,1,0,1,1,6.56,6.82,43,26.0027,7,81,88,9,2011,1,3,0,1,44.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
55,1,0,1,1,7.38,8.335,43,16.9979,11,33,44,10,2011,1,3,0,1,45.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
56,1,0,1,1,8.2,9.09,40,22.0028,10,41,51,11,2011,1,3,0,1,47.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
57,1,0,1,1,9.02,10.605,35,19.9995,13,48,61,12,2011,1,3,0,1,48.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
58,1,0,1,1,9.84,10.605,35,19.0012,8,53,61,13,2011,1,3,0,1,50.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
59,1,0,1,1,10.66,12.12,30,19.0012,11,66,77,14,2011,1,3,0,1,51.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
60,1,0,1,1,10.66,12.12,30,16.9979,14,58,72,15,2011,1,3,0,1,51.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
61,1,0,1,1,10.66,12.12,30,16.9979,9,67,76,16,2011,1,3,0,1,51.0,51.0,42.0,46.45454545454545,52.541666666666664,6.087121212121211
